,name,colors,manaValue,power,toughness,text,rarity,keywords,supertypes,types,subtypes
2271,Fang of Shigeki,G,1.0,1.0,1.0,Deathtouch,common,Deathtouch,,"Enchantment, Creature","Snake, Ninja"
2272,Generous Visitor,G,1.0,1.0,1.0,"Whenever you cast an enchantment spell, put a +1/+1 counter on target creature.",uncommon,,,Creature,Spirit
2273,Geothermal Kami,G,4.0,4.0,3.0,"When Geothermal Kami enters the battlefield, you may return an enchantment you control to its owner's hand. If you do, you gain 3 life.",common,,,Creature,Spirit
2274,Go-Shintai of Boundless Vigor,G,2.0,1.0,1.0,"Trample
At the beginning of your end step, you may pay {1}. When you do, put a +1/+1 counter on target Shrine for each Shrine you control.",uncommon,Trample,Legendary,"Enchantment, Creature",Shrine
2275,Greater Tanuki,G,6.0,6.0,5.0,"Trample
Channel — {2}{G}, Discard Greater Tanuki: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",common,"Channel, Trample",,"Enchantment, Creature",Dog
2276,Heir of the Ancient Fang,G,3.0,2.0,3.0,"Heir of the Ancient Fang enters the battlefield with a +1/+1 counter on it if you control a modified creature. (Equipment, Auras you control, and counters are modifications.)",common,,,Creature,"Snake, Samurai"
2277,Remnant of the Rising Star,G,3.0,2.0,2.0,"Flying
Whenever another creature enters the battlefield under your control, you may pay {X}. When you do, put X +1/+1 counters on that creature.
As long as you control five or more modified creatures, Remnant of the Rising Star gets +5/+5 and has trample. (Equipment, Auras you control, and counters are modifications.)",mythic,Flying,,"Enchantment, Creature","Dragon, Spirit"
2278,Jukai Preserver,G,4.0,3.0,3.0,"When Jukai Preserver enters the battlefield, put a +1/+1 counter on target creature you control.
Channel — {2}{G}, Discard Jukai Preserver: Put a +1/+1 counter on each of up to two target creatures you control.",common,Channel,,"Enchantment, Creature","Human, Druid"
2279,Jukai Trainee,G,2.0,2.0,2.0,"Whenever Jukai Trainee blocks or becomes blocked, it gets +1/+1 until end of turn.",common,,,Creature,"Human, Samurai"
2280,Kami of Transience,G,2.0,2.0,2.0,"Trample
Whenever you cast an enchantment spell, put a +1/+1 counter on Kami of Transience.
At the beginning of each end step, if an enchantment was put into your graveyard from the battlefield this turn, you may return Kami of Transience from your graveyard to your hand.",rare,Trample,,Creature,Spirit
2281,Kappa Tech-Wrecker,G,2.0,1.0,3.0,"Ninjutsu {1}{G}
Kappa Tech-Wrecker enters the battlefield with a deathtouch counter on it.
Whenever Kappa Tech-Wrecker deals combat damage to a player, you may remove a deathtouch counter from it. When you do, exile target artifact or enchantment that player controls.",uncommon,Ninjutsu,,Creature,"Turtle, Ninja"
2282,Kodama of the West Tree,G,3.0,3.0,3.0,"Reach
Modified creatures you control have trample. (Equipment, Auras you control, and counters are modifications.)
Whenever a modified creature you control deals combat damage to a player, search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",mythic,Reach,Legendary,Creature,Spirit
2283,"Kura, the Boundless Sky",G,5.0,4.0,4.0,"Flying, deathtouch
When Kura, the Boundless Sky dies, choose one —
• Search your library for up to three land cards, reveal them, put them into your hand, then shuffle.
• Create an X/X green Spirit creature token, where X is the number of lands you control.",mythic,"Deathtouch, Flying",Legendary,Creature,"Dragon, Spirit"
2284,Orochi Merge-Keeper,G,2.0,1.0,1.0,"{T}: Add {G}.
As long as Orochi Merge-Keeper is modified, it has ""{T}: Add {G}{G}."" (Equipment, Auras you control, and counters are modifications.)",uncommon,,,Creature,"Snake, Druid"
2285,"Shigeki, Jukai Visionary",G,2.0,1.0,3.0,"{1}{G}, {T}, Return Shigeki, Jukai Visionary to its owner's hand: Reveal the top four cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest into your graveyard.
Channel — {X}{X}{G}{G}, Discard Shigeki: Return X target nonlegendary cards from your graveyard to your hand.",rare,Channel,Legendary,"Enchantment, Creature","Snake, Druid"
2286,Spring-Leaf Avenger,G,5.0,6.0,5.0,"Ninjutsu {3}{G} ({3}{G}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Spring-Leaf Avenger deals combat damage to a player, return target permanent card from your graveyard to your hand.",rare,Ninjutsu,,Creature,"Insect, Ninja"
2287,Seshiro's Living Legacy,G,5.0,5.0,5.0,"Vigilance, haste",common,"Haste, Vigilance",,"Enchantment, Creature","Snake, Warrior"
2288,Kirin-Touched Orochi,G,2.0,1.0,1.0,"Whenever Kirin-Touched Orochi attacks, choose one —
• Exile target creature card from a graveyard. When you do, create a 1/1 colorless Spirit creature token.
• Exile target noncreature card from a graveyard. When you do, put a +1/+1 counter on target creature you control.",rare,,,"Enchantment, Creature","Snake, Monk"
2289,Weaver of Harmony,G,2.0,2.0,2.0,"Other enchantment creatures you control get +1/+1.
{G}, {T}: Copy target activated or triggered ability you control from an enchantment source. You may choose new targets for the copy. (Mana abilities can't be targeted.)",rare,,,"Enchantment, Creature","Snake, Druid"
2290,Webspinner Cuff,G,3.0,1.0,4.0,"Reach
Equipped creature gets +1/+4 and has reach.
Reconfigure {4} ({4}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",uncommon,"Reach, Reconfigure",,"Artifact, Creature","Equipment, Spider"
2291,Asari Captain,"R, W",5.0,4.0,3.0,"Haste
Whenever a Samurai or Warrior you control attacks alone, it gets +1/+0 until end of turn for each Samurai or Warrior you control.",uncommon,Haste,,Creature,"Human, Samurai"
2292,Colossal Skyturtle,"G, U",7.0,6.0,5.0,"Flying, ward {2}
Channel — {2}{G}, Discard Colossal Skyturtle: Return target card from your graveyard to your hand.
Channel — {1}{U}, Discard Colossal Skyturtle: Return target creature to its owner's hand.",uncommon,"Channel, Flying, Ward",,"Enchantment, Creature",Turtle
2293,Enthusiastic Mechanaut,"R, U",2.0,2.0,2.0,"Flying
Artifact spells you cast cost {1} less to cast.",uncommon,Flying,,"Artifact, Creature","Goblin, Artificer"
2294,Gloomshrieker,"B, G",3.0,2.0,1.0,"Menace (This creature can't be blocked except by two or more creatures.)
When Gloomshrieker enters the battlefield, return target permanent card from your graveyard to your hand.
If Gloomshrieker would die, exile it instead.",uncommon,Menace,,"Enchantment, Creature","Cat, Beast"
2295,"Greasefang, Okiba Boss","B, W",3.0,4.0,3.0,"At the beginning of combat on your turn, return target Vehicle card from your graveyard to the battlefield. It gains haste. Return it to its owner's hand at the beginning of your next end step.",rare,,Legendary,Creature,"Rat, Pilot"
2296,Vessel of the All-Consuming,"B, R",3.0,3.0,3.0,"Trample
Whenever Vessel of the All-Consuming deals damage, put a +1/+1 counter on it.
Whenever Vessel of the All-Consuming deals damage to a player, if it has dealt 10 or more damage to that player this turn, they lose the game.",mythic,Trample,,"Enchantment, Creature","Ogre, Shaman"
2297,"Hinata, Dawn-Crowned","R, U, W",4.0,4.0,4.0,"Flying, trample
Spells you cast cost {1} less to cast for each target.
Spells your opponents cast cost {1} more to cast for each target.",rare,"Flying, Trample",Legendary,Creature,"Kirin, Spirit"
2298,"Isshin, Two Heavens as One","B, R, W",3.0,3.0,4.0,"If a creature attacking causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",rare,,Legendary,Creature,"Human, Samurai"
2299,Jukai Naturalist,"G, W",2.0,2.0,2.0,"Lifelink
Enchantment spells you cast cost {1} less to cast.",uncommon,Lifelink,,"Enchantment, Creature","Human, Monk"
2300,O-Kagachi Made Manifest,"B, G, R, U, W",6.0,6.0,6.0,"O-Kagachi Made Manifest is all colors.
Flying, trample
Whenever O-Kagachi Made Manifest attacks, defending player chooses a nonland card in your graveyard. Return that card to your hand. O-Kagachi Made Manifest gets +X/+0 until end of turn, where X is the mana value of that card.",mythic,"Flying, Trample",,"Enchantment, Creature","Dragon, Spirit"
2301,"Kotose, the Silent Spider","B, U",5.0,4.0,4.0,"When Kotose, the Silent Spider enters the battlefield, exile target card other than a basic land card from an opponent's graveyard. Search that player's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles. For as long as you control Kotose, you may play one of the exiled cards, and you may spend mana as though it were mana of any color to cast it.",rare,,Legendary,Creature,"Human, Ninja"
2302,"Naomi, Pillar of Order","B, W",5.0,4.0,4.0,"Whenever Naomi, Pillar of Order enters the battlefield or attacks, if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance.",uncommon,,Legendary,Creature,"Human, Advisor"
2303,"Raiyuu, Storm's Edge","R, W",4.0,3.0,3.0,"First strike
Whenever a Samurai or Warrior you control attacks alone, untap it. If it's the first combat phase of the turn, there is an additional combat phase after this phase.",rare,First strike,Legendary,Creature,"Human, Samurai"
2304,"Risona, Asari Commander","R, W",3.0,3.0,3.0,"Haste
Whenever Risona, Asari Commander deals combat damage to a player, if it doesn't have an indestructible counter on it, put an indestructible counter on it.
Whenever combat damage is dealt to you, remove an indestructible counter from Risona.",rare,Haste,Legendary,Creature,"Human, Samurai"
2305,Satoru Umezawa,"B, U",3.0,2.0,4.0,"Whenever you activate a ninjutsu ability, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. This ability triggers only once each turn.
Each creature card in your hand has ninjutsu {2}{U}{B}.",rare,,Legendary,Creature,"Human, Ninja"
2306,"Satsuki, the Living Lore","G, W",2.0,1.0,3.0,"{T}: Put a lore counter on each Saga you control. Activate only as a sorcery.
When Satsuki, the Living Lore dies, choose up to one —
• Return target Saga or enchantment creature you control to its owner's hand.
• Return target Saga card from your graveyard to your hand.",rare,,Legendary,Creature,"Human, Druid"
2307,Silver-Fur Master,"B, U",2.0,2.0,2.0,"Ninjutsu {U}{B} ({U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Ninjutsu abilities you activate cost {1} less to activate.
Other Ninja and Rogue creatures you control get +1/+1.",uncommon,Ninjutsu,,Creature,"Rat, Ninja"
2308,Automated Artificer,C,2.0,1.0,3.0,{T}: Add {C}. Spend this mana only to activate an ability or cast an artifact spell.,common,,,"Artifact, Creature",Artificer
2309,Circuit Mender,C,3.0,2.0,3.0,"When Circuit Mender enters the battlefield, you gain 2 life.
When Circuit Mender leaves the battlefield, draw a card.",uncommon,,,"Artifact, Creature",Insect
2310,Containment Construct,C,2.0,2.0,1.0,"Whenever you discard a card, you may exile that card from your graveyard. If you do, you may play that card this turn.",uncommon,,,"Artifact, Creature",Construct
2311,Dramatist's Puppet,C,4.0,2.0,4.0,"When Dramatist's Puppet enters the battlefield, for each kind of counter on target permanent, put another counter of that kind on it or remove one from it.",common,,,"Artifact, Creature",Construct
2312,Iron Apprentice,C,1.0,0.0,0.0,"Iron Apprentice enters the battlefield with a +1/+1 counter on it.
When Iron Apprentice dies, if it had counters on it, put those counters on target creature you control.",common,,,"Artifact, Creature",Construct
2313,Papercraft Decoy,C,2.0,2.0,1.0,"When Papercraft Decoy leaves the battlefield, you may pay {2}. If you do, draw a card.",common,,,"Artifact, Creature",Frog
2314,Patchwork Automaton,C,2.0,1.0,1.0,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Whenever you cast an artifact spell, put a +1/+1 counter on Patchwork Automaton.",uncommon,Ward,,"Artifact, Creature",Construct
2315,Reito Sentinel,C,3.0,3.0,3.0,"Defender
When Reito Sentinel enters the battlefield, target player mills three cards. (They put the top three cards of their library into their graveyard.)
{3}: Put target card from a graveyard on the bottom of its owner's library.",uncommon,"Defender, Mill",,"Artifact, Creature",Construct
2316,Runaway Trash-Bot,C,3.0,0.0,4.0,"Trample
Runaway Trash-Bot gets +1/+0 for each artifact and/or enchantment card in your graveyard.",uncommon,Trample,,"Artifact, Creature",Construct
2317,Searchlight Companion,C,3.0,1.0,1.0,"Flying
When Searchlight Companion enters the battlefield, create a 1/1 colorless Spirit creature token.",common,Flying,,"Artifact, Creature",Drone
2318,Shrine Steward,C,5.0,3.0,2.0,"When Shrine Steward enters the battlefield, you may search your library for an Aura or Shrine card, reveal it, put it into your hand, then shuffle.",common,,,"Artifact, Creature",Construct
2319,Towashi Guide-Bot,C,4.0,2.0,1.0,"When Towashi Guide-Bot enters the battlefield, put a +1/+1 counter on target creature you control.
{4}, {T}: Draw a card. This ability costs {1} less to activate for each modified creature you control. (Equipment, Auras you control, and counters are modifications.)",uncommon,,,"Artifact, Creature",Construct
2320,Walking Skyscraper,C,8.0,8.0,8.0,"This spell costs {1} less to cast for each modified creature you control. (Equipment, Auras you control, and counters are modifications.)
Trample
Walking Skyscraper has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)",uncommon,Trample,,"Artifact, Creature",Construct
2321,Deceiver of Form,C,7.0,8.0,8.0,"({C} represents colorless mana.)
At the beginning of combat on your turn, reveal the top card of your library. If a creature card is revealed this way, you may have creatures you control other than Deceiver of Form become copies of that card until end of turn. You may put that card on the bottom of your library.",rare,,,Creature,Eldrazi
2322,Eldrazi Mimic,C,2.0,2.0,1.0,"Whenever another colorless creature enters the battlefield under your control, you may change Eldrazi Mimic's base power and toughness to that creature's power and toughness until end of turn.",rare,,,Creature,Eldrazi
2323,Endbringer,C,6.0,5.0,5.0,"Untap Endbringer during each other player's untap step.
{T}: Endbringer deals 1 damage to any target.
{C}, {T}: Target creature can't attack or block this turn.
{C}{C}, {T}: Draw a card.",rare,,,Creature,Eldrazi
2324,"Kozilek, the Great Distortion",C,10.0,12.0,12.0,"When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference.
Menace
Discard a card with mana value X: Counter target spell with mana value X.",mythic,Menace,Legendary,Creature,Eldrazi
2325,Kozilek's Pathfinder,C,6.0,5.0,5.0,{C}: Target creature can't block Kozilek's Pathfinder this turn. ({C} represents colorless mana.),common,,,Creature,Eldrazi
2326,Matter Reshaper,C,3.0,3.0,2.0,"({C} represents colorless mana.)
When Matter Reshaper dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with mana value 3 or less. Otherwise, put that card into your hand.",rare,,,Creature,Eldrazi
2327,Reality Smasher,C,5.0,5.0,5.0,"({C} represents colorless mana.)
Trample, haste
Whenever Reality Smasher becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card.",rare,"Haste, Trample",,Creature,Eldrazi
2328,Thought-Knot Seer,C,4.0,4.0,4.0,"({C} represents colorless mana.)
When Thought-Knot Seer enters the battlefield, target opponent reveals their hand. You choose a nonland card from it and exile that card.
When Thought-Knot Seer leaves the battlefield, target opponent draws a card.",rare,,,Creature,Eldrazi
2329,Walker of the Wastes,C,5.0,4.0,4.0,"({C} represents colorless mana.)
Trample
Walker of the Wastes gets +1/+1 for each land you control named Wastes.",uncommon,Trample,,Creature,Eldrazi
2330,Warden of Geometries,C,4.0,2.0,3.0,"Vigilance
{T}: Add {C}. ({C} represents colorless mana.)",common,Vigilance,,Creature,"Eldrazi, Drone"
2331,Eldrazi Displacer,C,3.0,3.0,3.0,"Devoid (This card has no color.)
{2}{C}: Exile another target creature, then return it to the battlefield tapped under its owner's control. ({C} represents colorless mana.)",rare,Devoid,,Creature,Eldrazi
2332,Affa Protector,W,3.0,1.0,4.0,Vigilance,common,Vigilance,,Creature,"Human, Soldier, Ally"
2333,Expedition Raptor,W,5.0,2.0,2.0,"Flying
When Expedition Raptor enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",common,"Flying, Support",,Creature,Bird
2334,General Tazri,W,5.0,3.0,4.0,"When General Tazri enters the battlefield, you may search your library for an Ally creature card, reveal it, put it into your hand, then shuffle.
{W}{U}{B}{R}{G}: Ally creatures you control get +X/+X until end of turn, where X is the number of colors among those creatures.",mythic,,Legendary,Creature,"Human, Ally"
2335,Kor Scythemaster,W,3.0,3.0,1.0,Kor Scythemaster has first strike as long as it's attacking.,common,,,Creature,"Kor, Soldier, Ally"
2336,Kor Sky Climber,W,3.0,3.0,2.0,{1}{W}: Kor Sky Climber gains flying until end of turn.,common,,,Creature,"Kor, Soldier, Ally"
2337,"Linvala, the Preserver",W,6.0,5.0,5.0,"Flying
When Linvala, the Preserver enters the battlefield, if an opponent has more life than you, you gain 5 life.
When Linvala enters the battlefield, if an opponent controls more creatures than you, create a 3/3 white Angel creature token with flying.",mythic,Flying,Legendary,Creature,Angel
2338,Makindi Aeronaut,W,2.0,1.0,3.0,Flying,common,Flying,,Creature,"Kor, Scout, Ally"
2339,Munda's Vanguard,W,5.0,3.0,3.0,"Cohort — {T}, Tap an untapped Ally you control: Put a +1/+1 counter on each creature you control.",rare,Cohort,,Creature,"Kor, Knight, Ally"
2340,Ondu War Cleric,W,2.0,2.0,2.0,"Cohort — {T}, Tap an untapped Ally you control: You gain 2 life.",common,Cohort,,Creature,"Human, Cleric, Ally"
2341,Relief Captain,W,4.0,3.0,2.0,"When Relief Captain enters the battlefield, support 3. (Put a +1/+1 counter on each of up to three other target creatures.)",uncommon,Support,,Creature,"Kor, Knight, Ally"
2342,Spawnbinder Mage,W,4.0,2.0,4.0,"Cohort — {T}, Tap an untapped Ally you control: Tap target creature.",common,Cohort,,Creature,"Human, Wizard, Ally"
2343,Steppe Glider,W,5.0,2.0,4.0,"Flying, vigilance
{1}{W}: Target creature with a +1/+1 counter on it gains flying and vigilance until end of turn.",uncommon,"Flying, Vigilance",,Creature,Elemental
2344,Stone Haven Outfitter,W,2.0,2.0,2.0,"Equipped creatures you control get +1/+1.
Whenever an equipped creature you control dies, draw a card.",rare,,,Creature,"Kor, Artificer, Ally"
2345,Stoneforge Acolyte,W,1.0,1.0,2.0,"Cohort — {T}, Tap an untapped Ally you control: Look at the top four cards of your library. You may reveal an Equipment card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",uncommon,Cohort,,Creature,"Kor, Artificer, Ally"
2346,Wall of Resurgence,W,3.0,0.0,6.0,"Defender
When Wall of Resurgence enters the battlefield, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",uncommon,Defender,,Creature,Wall
2347,Blinding Drone,C,2.0,1.0,3.0,"Devoid (This card has no color.)
{C}, {T}: Tap target creature. ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
2348,Cultivator Drone,C,3.0,2.0,3.0,"Devoid (This card has no color.)
{T}: Add {C}. Spend this mana only to cast a colorless spell, activate an ability of a colorless permanent, or pay a cost that contains {C}. ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
2349,Deepfathom Skulker,C,6.0,4.0,4.0,"Devoid (This card has no color.)
Whenever a creature you control deals combat damage to a player, you may draw a card.
{3}{C}: Target creature can't be blocked this turn. ({C} represents colorless mana.)",rare,Devoid,,Creature,Eldrazi
2350,Dimensional Infiltrator,C,2.0,2.0,1.0,"Devoid (This card has no color.)
Flash
Flying
{1}{C}: Target opponent exiles the top card of their library. If it's a land card, you may return Dimensional Infiltrator to its owner's hand. ({C} represents colorless mana.)",rare,"Devoid, Flash, Flying",,Creature,Eldrazi
2351,Gravity Negator,C,4.0,2.0,3.0,"Devoid (This card has no color.)
Flying
Whenever Gravity Negator attacks, you may pay {C}. If you do, another target creature gains flying until end of turn. ({C} represents colorless mana.)",common,"Devoid, Flying",,Creature,"Eldrazi, Drone"
2352,Prophet of Distortion,C,1.0,1.0,2.0,"Devoid (This card has no color.)
{3}{C}: Draw a card. ({C} represents colorless mana.)",uncommon,Devoid,,Creature,"Eldrazi, Drone"
2353,Thought Harvester,C,4.0,2.0,4.0,"Devoid (This card has no color.)
Flying
Whenever you cast a colorless spell, target opponent exiles the top card of their library.",uncommon,"Devoid, Flying",,Creature,"Eldrazi, Drone"
2354,Cyclone Sire,U,5.0,3.0,4.0,"Flying
When Cyclone Sire dies, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",uncommon,Flying,,Creature,Elemental
2355,Jwar Isle Avenger,U,5.0,3.0,3.0,"Surge {2}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Flying",common,"Flying, Surge",,Creature,Sphinx
2356,Sphinx of the Final Word,U,7.0,5.0,5.0,"This spell can't be countered.
Flying, hexproof
Instant and sorcery spells you control can't be countered.",mythic,"Flying, Hexproof",,Creature,Sphinx
2357,Umara Entangler,U,2.0,2.0,1.0,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",common,Prowess,,Creature,"Merfolk, Rogue, Ally"
2358,Bearer of Silence,C,2.0,2.0,1.0,"Devoid (This card has no color.)
When you cast this spell, you may pay {1}{C}. If you do, target opponent sacrifices a creature. ({C} represents colorless mana.)
Flying
Bearer of Silence can't block.",rare,"Devoid, Flying",,Creature,Eldrazi
2359,Dread Defiler,C,7.0,6.0,8.0,"Devoid (This card has no color.)
{3}{C}, Exile a creature card from your graveyard: Target opponent loses life equal to the exiled card's power. ({C} represents colorless mana.)",rare,Devoid,,Creature,Eldrazi
2360,Essence Depleter,C,3.0,2.0,3.0,"Devoid (This card has no color.)
{1}{C}: Target opponent loses 1 life and you gain 1 life. ({C} represents colorless mana.)",uncommon,Devoid,,Creature,"Eldrazi, Drone"
2361,Havoc Sower,C,4.0,3.0,3.0,"Devoid (This card has no color.)
{1}{C}: Havoc Sower gets +2/+1 until end of turn. ({C} represents colorless mana.)",uncommon,Devoid,,Creature,"Eldrazi, Drone"
2362,Inverter of Truth,C,4.0,6.0,6.0,"Devoid (This card has no color.)
Flying
When Inverter of Truth enters the battlefield, exile all cards from your library face down, then shuffle all cards from your graveyard into your library.",mythic,"Devoid, Flying",,Creature,Eldrazi
2363,Kozilek's Shrieker,C,3.0,3.0,2.0,"Devoid (This card has no color.)
{C}: Kozilek's Shrieker gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures. {C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
2364,Kozilek's Translator,C,5.0,3.0,5.0,"Devoid (This card has no color.)
Pay 1 life: Add {C}. Activate only once each turn. ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
2365,Reaver Drone,C,1.0,2.0,1.0,"Devoid (This card has no color.)
At the beginning of your upkeep, you lose 1 life unless you control another colorless creature.",uncommon,Devoid,,Creature,"Eldrazi, Drone"
2366,Sifter of Skulls,C,4.0,4.0,3.0,"Devoid (This card has no color.)
Whenever another nontoken creature you control dies, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)",rare,Devoid,,Creature,Eldrazi
2367,Sky Scourer,C,2.0,1.0,2.0,"Devoid (This card has no color.)
Flying
Whenever you cast a colorless spell, Sky Scourer gets +1/+0 until end of turn.",common,"Devoid, Flying",,Creature,"Eldrazi, Drone"
2368,Slaughter Drone,C,2.0,2.0,2.0,"Devoid (This card has no color.)
{C}: Slaughter Drone gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it. {C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
2369,Drana's Chosen,B,4.0,2.0,2.0,"Cohort — {T}, Tap an untapped Ally you control: Create a tapped 2/2 black Zombie creature token.",rare,Cohort,,Creature,"Vampire, Shaman, Ally"
2370,"Kalitas, Traitor of Ghet",B,4.0,3.0,4.0,"Lifelink
If a nontoken creature an opponent controls would die, instead exile that card and create a 2/2 black Zombie creature token.
{2}{B}, Sacrifice another Vampire or Zombie: Put two +1/+1 counters on Kalitas, Traitor of Ghet.",mythic,Lifelink,Legendary,Creature,"Vampire, Warrior"
2371,Malakir Soothsayer,B,5.0,4.0,4.0,"Cohort — {T}, Tap an untapped Ally you control: You draw a card and you lose 1 life.",uncommon,Cohort,,Creature,"Vampire, Shaman, Ally"
2372,Null Caller,B,4.0,2.0,4.0,"{3}{B}, Exile a creature card from your graveyard: Create a tapped 2/2 black Zombie creature token.",uncommon,,,Creature,"Vampire, Shaman"
2373,Vampire Envoy,B,3.0,1.0,4.0,"Flying
Whenever Vampire Envoy becomes tapped, you gain 1 life.",common,Flying,,Creature,"Vampire, Cleric, Ally"
2374,Zulaport Chainmage,B,4.0,4.0,2.0,"Cohort — {T}, Tap an untapped Ally you control: Target opponent loses 2 life.",common,Cohort,,Creature,"Human, Shaman, Ally"
2375,Eldrazi Aggressor,C,3.0,2.0,3.0,"Devoid (This card has no color.)
Eldrazi Aggressor has haste as long as you control another colorless creature.",common,Devoid,,Creature,"Eldrazi, Drone"
2376,Eldrazi Obligator,C,3.0,3.0,1.0,"Devoid (This card has no color.)
When you cast this spell, you may pay {1}{C}. If you do, gain control of target creature until end of turn, untap that creature, and it gains haste until end of turn. ({C} represents colorless mana.)
Haste",rare,"Devoid, Haste",,Creature,Eldrazi
2377,Immobilizer Eldrazi,C,2.0,2.0,1.0,"Devoid (This card has no color.)
{2}{C}: Each creature with toughness greater than its power can't block this turn. ({C} represents colorless mana.)",uncommon,Devoid,,Creature,"Eldrazi, Drone"
2378,Maw of Kozilek,C,4.0,2.0,5.0,"Devoid (This card has no color.)
{C}: Maw of Kozilek gets +2/-2 until end of turn. ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
2379,Akoum Flameseeker,R,3.0,3.0,2.0,"Cohort — {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card.",common,Cohort,,Creature,"Human, Shaman, Ally"
2380,Cinder Hellion,R,5.0,4.0,4.0,"Trample
When Cinder Hellion enters the battlefield, it deals 2 damage to target opponent or planeswalker.",common,Trample,,Creature,Hellion
2381,Embodiment of Fury,R,4.0,4.0,3.0,"Trample
Land creatures you control have trample.
Landfall — Whenever a land enters the battlefield under your control, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land.",uncommon,"Landfall, Trample",,Creature,Elemental
2382,Goblin Dark-Dwellers,R,5.0,4.0,4.0,"Menace
When Goblin Dark-Dwellers enters the battlefield, you may cast target instant or sorcery card with mana value 3 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",rare,Menace,,Creature,Goblin
2383,Goblin Freerunner,R,4.0,3.0,2.0,"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Menace (This creature can't be blocked except by two or more creatures.)",common,"Menace, Surge",,Creature,"Goblin, Warrior, Ally"
2384,Kazuul's Toll Collector,R,3.0,3.0,2.0,{0}: Attach target Equipment you control to Kazuul's Toll Collector. Activate only as a sorcery.,uncommon,,,Creature,"Ogre, Warrior"
2385,Reckless Bushwhacker,R,3.0,2.0,1.0,"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Haste
When Reckless Bushwhacker enters the battlefield, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn.",uncommon,"Haste, Surge",,Creature,"Goblin, Warrior, Ally"
2386,Tyrant of Valakut,R,7.0,5.0,4.0,"Surge {3}{R}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Flying
When Tyrant of Valakut enters the battlefield, if its surge cost was paid, it deals 3 damage to any target.",rare,"Flying, Surge",,Creature,Dragon
2387,Zada's Commando,R,2.0,2.0,1.0,"First strike
Cohort — {T}, Tap an untapped Ally you control: Zada's Commando deals 1 damage to target opponent or planeswalker.",common,"Cohort, First strike",,Creature,"Goblin, Archer, Ally"
2388,Birthing Hulk,C,7.0,5.0,4.0,"Devoid (This card has no color.)
When Birthing Hulk enters the battlefield, create two 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)
{1}{C}: Regenerate Birthing Hulk.",uncommon,Devoid,,Creature,"Eldrazi, Drone"
2389,Scion Summoner,C,3.0,2.0,2.0,"Devoid (This card has no color.)
When Scion Summoner enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)",common,Devoid,,Creature,"Eldrazi, Drone"
